Loop_counter,BAS Score Test,params,mean_test_score,std_test_score,mean_train_score,std_train_score,data_sampler_sampling_method,scaler_name,feature_adder_auto_encoder_on,feature_adder_clustering_on,feature_adder_custom_on,feature_adder_n_clusters,feature_adder_n_encoder_features,classifier_classifier
7,0.6351851851851852,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6556712962962963,0.036495057929230475,0.9176697530864196,0.002103557276809923,None,robustscaler,False,True,True,16,64,BalancedRandomForestClassifier
7,0.6351851851851852,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.46655092592592584,0.024744980594927656,1.0,0.0,None,robustscaler,False,True,True,16,64,BalancedRandomForestClassifier
8,0.6430555555555556,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6678240740740741,0.027511260009270174,0.9186342592592591,0.0018892069320140805,None,robustscaler,True,False,False,16,32,BalancedRandomForestClassifier
8,0.6430555555555556,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6648148148148149,0.02976675445496018,0.9198302469135801,0.0016887398632900652,None,robustscaler,True,False,False,16,32,BalancedRandomForestClassifier
8,0.6430555555555556,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6640046296296296,0.03452509629993653,0.919945987654321,0.001474429607806719,None,robustscaler,True,False,False,16,32,BalancedRandomForestClassifier
8,0.6430555555555556,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.4672453703703704,0.0230207722333137,1.0,0.0,None,robustscaler,True,False,False,16,32,BalancedRandomForestClassifier
9,0.638425925925926,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6763888888888889,0.030048935568611792,0.9190586419753087,0.0023156719949274647,None,robustscaler,True,False,False,16,64,BalancedRandomForestClassifier
9,0.638425925925926,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6744212962962963,0.028374427427856796,0.919753086419753,0.0015194501530598728,None,robustscaler,True,False,False,16,64,BalancedRandomForestClassifier
9,0.638425925925926,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6710648148148148,0.024392481245036103,0.9201131687242798,0.0020258609740241807,None,robustscaler,True,False,False,16,64,BalancedRandomForestClassifier
9,0.638425925925926,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.47800925925925936,0.0160625465364172,1.0,0.0,None,robustscaler,True,False,False,16,64,BalancedRandomForestClassifier
10,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6784722222222224,0.02628512738813908,0.9208204732510289,0.001797699677236586,None,robustscaler,True,False,True,16,32,BalancedRandomForestClassifier
10,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.671412037037037,0.022964841339691473,0.919997427983539,0.002232215434910689,None,robustscaler,True,False,True,16,32,BalancedRandomForestClassifier
10,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.657175925925926,0.02919696398191626,0.9196630658436215,0.0016144910156867002,None,robustscaler,True,False,True,16,32,BalancedRandomForestClassifier
10,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.47905092592592596,0.019335633044897025,1.0,0.0,None,robustscaler,True,False,True,16,32,BalancedRandomForestClassifier
11,0.6416666666666667,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6770833333333333,0.028482571139392617,0.9206661522633744,0.0014757749928706327,None,robustscaler,True,False,True,16,64,BalancedRandomForestClassifier
11,0.6416666666666667,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6708333333333334,0.03391104947367506,0.9216692386831277,0.0012788509679467798,None,robustscaler,True,False,True,16,64,BalancedRandomForestClassifier
11,0.6416666666666667,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6665509259259259,0.028634783222248848,0.9204861111111111,0.0018314220158191625,None,robustscaler,True,False,True,16,64,BalancedRandomForestClassifier
11,0.6416666666666667,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.4849537037037037,0.023229025378337226,1.0,0.0,None,robustscaler,True,False,True,16,64,BalancedRandomForestClassifier
12,0.6449074074074074,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6770833333333333,0.025225109626971498,0.921412037037037,0.002127517851691707,None,robustscaler,True,True,False,16,32,BalancedRandomForestClassifier
12,0.6449074074074074,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6754629629629629,0.02987008191406266,0.9211805555555556,0.0013856104615838374,None,robustscaler,True,True,False,16,32,BalancedRandomForestClassifier
12,0.6449074074074074,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6749999999999999,0.025993010100295717,0.9205632716049383,0.0014481731774014948,None,robustscaler,True,True,False,16,32,BalancedRandomForestClassifier
12,0.6449074074074074,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.49444444444444446,0.016243337771156323,0.9999228395061728,0.0002314814814814992,None,robustscaler,True,True,False,16,32,BalancedRandomForestClassifier
13,0.6222222222222222,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6805555555555556,0.030635242611233,0.9217592592592592,0.0018980714740221205,None,robustscaler,True,True,False,16,64,BalancedRandomForestClassifier
13,0.6222222222222222,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.672337962962963,0.025820563434136003,0.9206918724279834,0.0018900821321592319,None,robustscaler,True,True,False,16,64,BalancedRandomForestClassifier
13,0.6222222222222222,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6716435185185186,0.02995449974613416,0.9209747942386832,0.0014989031402341869,None,robustscaler,True,True,False,16,64,BalancedRandomForestClassifier
13,0.6222222222222222,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.48506944444444444,0.01695868469115591,1.0,0.0,None,robustscaler,True,True,False,16,64,BalancedRandomForestClassifier
14,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6833333333333333,0.03127656621121212,0.9217463991769547,0.001757884347699767,None,robustscaler,True,True,True,16,32,BalancedRandomForestClassifier
14,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6739583333333334,0.025698875577207358,0.9217978395061728,0.0017103909465020566,None,robustscaler,True,True,True,16,32,BalancedRandomForestClassifier
14,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6689814814814815,0.026875787543888894,0.9218878600823045,0.0019673824493068896,None,robustscaler,True,True,True,16,32,BalancedRandomForestClassifier
14,0.6393518518518518,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.4952546296296296,0.024728734490452892,0.9999228395061728,0.0002314814814814992,None,robustscaler,True,True,True,16,32,BalancedRandomForestClassifier
15,0.6287037037037037,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.681712962962963,0.032361905887553895,0.920871913580247,0.0008873456790123287,None,robustscaler,True,True,True,16,64,BalancedRandomForestClassifier
15,0.6287037037037037,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6817129629629629,0.022419074097783785,0.9224665637860083,0.0023122771297981832,None,robustscaler,True,True,True,16,64,BalancedRandomForestClassifier
15,0.6287037037037037,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6723379629629629,0.021344362524023226,0.920974794238683,0.0019206351019885333,None,robustscaler,True,True,True,16,64,BalancedRandomForestClassifier
15,0.6287037037037037,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.490625,0.021419543228861342,0.9998456790123456,0.00030864197530866555,None,robustscaler,True,True,True,16,64,BalancedRandomForestClassifier
